Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
2000,1.4415345,0.00029997533,-2357.2206326127052,424.0,6.245016,38.068012,-2094.7264366149902,0.0
4000,1.495707,0.00029991375,-3102.137371301651,499.0,3.8600445,34.43831,-3094.4217529296875,0.0
6000,1.3436053,0.00029985295,-3010.9098459541797,407.8,0.79723424,38.129627,-2734.974365234375,119.63541288375855
8000,1.3126552,0.00029979242,-5060.286614477634,499.0,4.1303225,50.324074,-4936.757568359375,452.04942321777344
10000,1.3409431,0.00029973243,-2842.844003677368,499.25,-0.9547335,39.848324,-3726.9381103515625,299.3108444213867
12000,1.3499869,0.00029966995,-2088.022560092807,427.2,-5.1361356,30.06986,-1985.0370056152344,187.50777130126954
14000,1.2230215,0.00029960822,-4000.4196612089872,499.0,-13.256326,29.64545,-2917.2206420898438,258.7792959213257
16000,1.200732,0.00029954818,-3626.786848552525,499.25,-23.682617,34.148445,-3954.937530517578,19.657471656799316
18000,1.1557415,0.00029948814,-4872.801494792104,499.0,-34.3066,38.911133,-5413.1141357421875,19.183488607406616
20000,1.2344152,0.00029942815,-4488.033442556858,499.25,-43.2947,34.569443,-4164.508605957031,8.793659448623657
22000,1.150484,0.00029936965,-2757.9980718046427,466.25,-35.141663,28.75632,-3168.803466796875,132.64648628234863
24000,1.2070383,0.00029931203,-6303.828288048506,499.0,-42.331818,32.848087,-5633.0135498046875,8.106079578399658
26000,1.1898019,0.00029925205,-5883.963332414627,499.0,-37.829792,27.803225,-4609.90478515625,7.101786017417908
28000,0.8599777,0.0002991893,-2314.1676710347333,358.1666666666667,-50.623795,30.814062,-3574.908360799154,13.93950374921163
30000,1.2258493,0.0002991274,-4365.2067298442125,499.0,-38.163334,35.40878,-3685.0809936523438,278.7588424682617
32000,1.1682632,0.00029906738,-4139.679470658302,499.0,-41.01196,32.927177,-4511.40869140625,91.4961758852005
34000,1.183959,0.0002990074,-4334.997923403978,499.25,-58.04322,43.344563,-4132.2000732421875,9.883436918258667
36000,0.66515493,0.0002989473,-2310.949795615673,399.8,-44.320778,29.450596,-2359.5294757843017,3.0551011085510256
38000,0.033661537,0.00029888726,-4773.046028986573,499.25,-66.5421,27.61534,-4784.311767578125,341.53961181640625
40000,0.029260619,0.0002988272,-4774.480510652065,499.0,-70.42682,27.902985,-4773.5245361328125,256.3375432193279
42000,0.024789331,0.0002987672,-4775.913201197982,499.25,-81.51427,28.511349,-4777.34716796875,0.2154691219329834
44000,0.022329507,0.0002987072,-4801.612051337957,499.0,-81.4404,28.464085,-4788.71240234375,0.2909840755164623
46000,0.02305601,0.0002986472,-4751.5607298612595,499.0,-103.60959,27.992851,-4770.59765625,0.33861057460308075
48000,0.023567285,0.00029858717,-4740.882657751441,499.25,-103.580795,27.94126,-4742.308349609375,0.43585050106048584
